open_time,high_kg,low_kg,close_kg,high_oz,low_oz,close_oz,ret
2011-05-26,34948.5,33655.38,34034.11,1087.02,1046.8,1058.58,-0.0013229700678022427
2011-06-25,36808.84,32837.1,36176.57,1144.88,1021.35,1125.22,0.05322809147945762
2011-07-25,42793.93,35681.29,40921.8,1331.04,1109.81,1272.81,0.16260219411641375
2011-08-24,44204.02,37975.43,41473.85,1374.9,1181.17,1289.98,0.032951676884241055
2011-09-23,41725.73,36934.86,37989.54,1297.82,1148.8,1181.61,-0.056062259073387244
2011-10-23,42489.04,37976.31,40029.17,1321.56,1181.2,1245.05,0.018292213095806753
2011-11-22,42053.31,38657.03,39777.84,1308.0,1202.37,1237.23,-0.010260601107781708
2011-12-22,42006.79,38041.52,41444.71,1306.56,1183.22,1289.07,-0.0011009174311926717
2012-01-21,43098.26,40965.54,42143.89,1340.51,1274.17,1310.82,0.02598426402155285
2012-02-20,43201.2,39997.13,40077.42,1343.71,1244.05,1246.55,0.002387151158887324
2012-03-21,41063.72,39502.19,40165.61,1277.22,1228.66,1249.29,-0.049482403197118385
2012-04-20,40683.07,38704.42,40070.14,1265.38,1203.84,1246.32,-0.009270133571350203
2012-05-20,42290.29,39254.77,41562.76,1315.38,1220.96,1292.75,0.03951382193491293
2012-06-19,41929.1,39859.67,41223.55,1304.14,1239.77,1282.2,-0.008545059222429985
2012-07-19,42629.35,41173.64,42124.89,1325.92,1280.64,1310.23,0.01670066097198153
2012-08-18,44000.05,42018.7,43510.11,1368.55,1306.93,1353.32,0.03215126101122223
2012-09-17,44583.04,42860.7,42925.41,1386.69,1333.12,1335.13,0.013254904826276004
2012-10-17,43959.78,41934.57,43158.94,1367.3,1304.31,1342.39,-0.013982937787104577
2012-11-16,43625.32,41391.66,41432.0,1356.9,1287.42,1288.68,-0.00760623125868487
2012-12-16,41599.79,39785.48,40103.34,1293.9,1237.47,1247.35,-0.046429361043555106
2013-01-15,40999.8,39145.83,39298.37,1275.24,1217.57,1222.32,-0.014421516345930918
2013-02-14,39868.18,37693.5,39152.18,1240.04,1172.4,1217.77,-0.027602647344813547
2013-03-16,40532.01,36279.21,36586.77,1260.69,1128.41,1137.98,0.016652688622947664
2013-04-15,36716.35,32583.29,35550.63,1142.01,1013.45,1105.75,-0.0941389239226138
2013-05-15,35558.72,33087.24,33360.33,1106.0,1029.13,1037.62,-0.03153212318631182
2013-06-14,33597.74,29139.82,31654.63,1045.01,906.35,984.57,-0.05514466546112118
2013-07-14,32783.43,30796.31,32251.25,1019.68,957.87,1003.13,-0.024239002497583817
2013-08-13,34570.72,31916.32,32968.54,1075.27,992.71,1025.44,0.05451710340498983
2013-09-12,32976.67,29942.45,30231.84,1025.69,931.31,940.32,-0.04610934927971577
2013-10-12,31887.01,29808.81,31015.9,991.8,927.16,964.7,-0.03304117228402348
2013-11-11,31015.9,28618.22,29463.4,964.7,890.13,916.41,-0.027324057269610735
2013-12-11,29494.65,27615.96,29042.17,917.39,858.95,903.31,-0.04904115268995546
2014-01-10,30231.06,29010.4,29882.31,940.29,902.32,929.44,0.024962120799223886
2014-02-09,31676.4,29856.92,31060.49,985.25,928.65,966.09,0.04781503578683166
2014-03-11,32191.43,29784.16,30432.22,1001.27,926.39,946.55,0.016259832529814666
2014-04-10,30976.27,29519.6,30118.23,963.47,918.16,936.78,-0.03775205489028932
2014-05-10,30746.99,29274.95,29545.86,956.34,910.55,918.98,-0.007400334208641723
2014-06-09,31364.92,29494.58,31124.04,975.56,917.38,968.07,0.020097454880063426
2014-07-09,31773.49,30635.46,31562.01,988.27,952.87,981.69,0.013028414449137049
2014-08-08,31780.59,30839.9,31498.44,988.49,959.23,979.71,0.00022261122972477843
2014-09-07,31604.17,30256.99,30683.06,983.0,941.1,954.35,-0.00555392568463009
2014-10-07,31672.0,29318.2,29466.75,985.11,911.9,916.52,0.0021464903357071297
2014-11-06,31705.35,29466.75,31199.68,986.15,916.52,970.42,0.001055719665824073
2014-12-06,32129.99,30526.63,31853.34,999.35,949.48,990.75,0.013385387618516598
2015-01-05,37554.14,31814.75,35401.46,1168.06,989.55,1101.11,0.168819732826337
2015-02-04,36233.66,33767.72,34980.18,1126.99,1050.29,1088.01,-0.03516086502405691
2015-03-06,36064.47,34252.98,35250.1,1121.73,1065.39,1096.4,-0.004667299621114673
2015-04-05,36745.57,33431.02,34274.4,1142.91,1039.82,1066.05,0.018881549035864253
2015-05-05,35457.62,33387.31,33853.64,1102.86,1038.46,1052.97,-0.03504212930151995
2015-06-04,34813.59,33354.7,33800.86,1082.82,1037.45,1051.32,-0.01817093738099118
2015-07-04,34372.68,31573.08,32050.94,1069.11,982.03,996.9,-0.012661384163572875
2015-08-03,33280.79,31516.68,32423.25,1035.15,980.28,1008.48,-0.03176473889496856
2015-09-02,33210.69,31240.77,31996.87,1032.97,971.7,995.21,-0.0021059749794716254
2015-10-02,34377.71,31839.75,33361.12,1069.27,990.33,1037.65,0.03514138842367154
2015-11-01,33363.21,32000.83,32373.7,1037.71,995.34,1006.93,-0.029515463821111587
2015-12-01,32644.8,30922.37,31224.01,1015.37,961.79,971.18,-0.021528172610845053
