open_time,close,open,high,low,ignored,ret
2001-04-22,1253.0,1243.0,1253.1,1207.4,"0,80%",-0.0004785833931563177
2001-04-29,1266.6,1253.0,1272.9,1232.0,"1,09%",0.015800813981326378
2001-05-06,1245.7,1266.6,1270.0,1240.8,"-1,65%",-0.00227826223583949
2001-05-13,1292.0,1245.7,1296.5,1241.0,"3,72%",0.020866141732283516
2001-05-20,1277.9,1292.0,1315.9,1276.4,"-1,09%",0.014963362900115795
2001-05-27,1260.7,1277.9,1278.4,1246.0,"-1,35%",-0.028497606201079106
2001-06-03,1265.0,1260.7,1286.6,1256.4,"0,34%",0.006414267834793375
2001-06-10,1214.4,1265.0,1265.0,1203.0,"-4,00%",-0.01678843463391877
2001-06-17,1225.3,1214.4,1240.2,1207.7,"0,90%",-0.01960474308300386
2001-06-24,1224.4,1225.3,1237.3,1204.6,"-0,07%",-0.002338332527011877
2001-07-01,1190.6,1224.4,1239.8,1188.7,"-2,76%",0.002020528570273905
2001-07-08,1215.7,1190.6,1218.5,1168.5,"2,11%",-0.017180190353282776
2001-07-15,1210.8,1215.7,1225.0,1196.1,"-0,40%",0.005334427574887224
2001-07-22,1205.8,1210.8,1215.2,1165.5,"-0,41%",-0.008000000000000007
2001-07-29,1214.3,1205.8,1226.3,1200.4,"0,70%",0.009134298880842495
2001-08-05,1190.2,1214.3,1214.3,1169.5,"-1,98%",-0.009785533719318229
2001-08-12,1162.0,1190.2,1198.8,1156.1,"-2,37%",-0.012764555711109238
2001-08-19,1184.9,1162.0,1185.2,1153.3,"1,97%",-0.011344678011344644
2001-08-26,1133.6,1184.9,1186.8,1124.9,"-4,33%",0.0013499831252108407
2001-09-02,1085.8,1133.6,1155.4,1082.1,"-4,22%",-0.026457701381867094
2001-09-09,1092.5,1085.8,1096.9,1073.2,"0,62%",-0.05063181582136056
2001-09-16,965.8,1092.5,1092.5,944.8,"-11,60%",-0.004011304585650577
2001-09-23,1040.9,965.8,1040.9,965.8,"7,78%",-0.04723112128146445
2001-09-30,1071.4,1037.9,1084.1,1026.8,"2,93%",0.04150254587376301
2001-10-07,1091.7,1060.3,1099.2,1052.7,"1,89%",0.013928604372290598
2001-10-14,1073.5,1083.4,1107.1,1057.2,"-1,67%",0.0071870451237261435
2001-10-21,1104.6,1073.5,1110.6,1065.6,"2,90%",0.0031614126998464886
2001-10-28,1087.2,1099.8,1104.6,1053.6,"-1,58%",-0.0054024851431658805
2001-11-04,1120.3,1087.2,1135.8,1087.2,"3,04%",0.0282455187398154
2001-11-11,1138.7,1112.7,1148.3,1098.3,"1,64%",0.011005458707519011
2001-11-18,1150.3,1143.9,1152.5,1129.8,"1,02%",0.0036575807715755193
2001-11-25,1139.5,1150.3,1163.4,1125.5,"-0,94%",0.009457700650759238
2001-12-02,1158.3,1139.5,1173.6,1125.8,"1,65%",0.008767405879319012
2001-12-09,1123.1,1152.4,1158.3,1114.5,"-3,04%",-0.0130368098159509
2001-12-16,1144.9,1123.1,1152.4,1122.3,"1,94%",-0.005093671760338259
2001-12-23,1161.0,1145.0,1164.6,1144.6,"1,41%",0.010586601874349011
2001-12-30,1172.5,1158.3,1176.5,1136.2,"0,99%",0.010218100635411398
2002-01-06,1145.6,1174.7,1177.0,1145.5,"-2,29%",0.00042498937526569414
2002-01-13,1127.6,1143.0,1148.8,1124.5,"-1,57%",-0.02395921835174175
2002-01-20,1133.3,1135.3,1139.5,1117.4,"0,51%",-0.00809540389972141
2002-01-27,1122.2,1136.3,1138.6,1081.7,"-0,98%",-0.0007898200965336111
