"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 25-Mar-2017",39261.14,36892.88,37675.42,,1221.16,1147.50,1171.84,
"00:00:00 23-Feb-2017",38322.45,36123.26,37028.22,,1191.96,1123.56,1151.71,
"00:00:00 24-Jan-2017",37933.62,35538.55,37693.33,,1179.87,1105.37,1172.39,
"00:00:00 25-Dec-2016",36500.51,35296.99,36381.76,,1135.29,1097.86,1131.60,
"00:00:00 25-Nov-2016",36351.54,34671.06,35296.99,,1130.66,1078.39,1097.86,
"00:00:00 26-Oct-2016",38216.22,36007.87,36117.38,,1188.66,1119.97,1123.38,
"00:00:00 26-Sep-2016",38362.59,35783.37,37640.90,,1193.21,1112.99,1170.76,
"00:00:00 27-Aug-2016",38468.45,37731.98,38292.45,,1196.50,1173.60,1191.03,
"00:00:00 28-Jul-2016",39396.86,37554.95,37936.39,,1225.38,1168.09,1179.95,
"00:00:00 28-Jun-2016",40017.38,37854.79,38922.39,,1244.68,1177.42,1210.62,
"00:00:00 29-May-2016",40016.82,34734.86,38668.91,,1244.66,1080.37,1202.74,
"00:00:00 29-Apr-2016",36545.58,34839.65,35094.02,,1136.69,1083.63,1091.55,
"00:00:00 30-Mar-2016",35950.86,34243.66,35829.43,,1118.20,1065.10,1114.42,
"00:00:00 29-Feb-2016",37434.06,34835.43,35291.70,,1164.33,1083.50,1097.69,
"00:00:00 30-Jan-2016",36512.46,32912.13,35945.20,,1135.66,1023.68,1118.02,
"00:00:00 31-Dec-2015",33279.76,31208.16,33187.73,,1035.12,970.68,1032.25,
"00:00:00 01-Dec-2015",32644.80,30922.37,31224.01,,1015.37,961.79,971.18,
"00:00:00 01-Nov-2015",33363.21,32000.83,32373.70,,1037.71,995.34,1006.93,
"00:00:00 02-Oct-2015",34377.71,31839.75,33361.12,,1069.27,990.33,1037.65,
"00:00:00 02-Sep-2015",33210.69,31240.77,31996.87,,1032.97,971.70,995.21,
"00:00:00 03-Aug-2015",33280.79,31516.68,32423.25,,1035.15,980.28,1008.48,
"00:00:00 04-Jul-2015",34372.68,31573.08,32050.94,,1069.11,982.03,996.90,
"00:00:00 04-Jun-2015",34813.59,33354.70,33800.86,,1082.82,1037.45,1051.32,
